model_kind,horizon,metric_code,samples,mean_error,mae,rmse,mape,smape,mase,rmsse,pinball_q10,pinball_q50,pinball_q90,pinball_avg,picp80,ace80,miw,winkler80
sarima,24h,net_bytes_recv,24,59.61774561835987,102.07594218551311,123.61226521477344,0.4798765191436012,0.2969505620762671,0.43762587431115985,0.3087412668079289,38.864144147053324,51.03797109275656,17.819982639943134,35.907365959917676,0.4583333333333333,0.34166666666666673,153.15555558390102,566.8412678699646
sarima,24h,net_bytes_sent,24,59.82165221706523,86.05328793105434,100.89653540112914,1.3939116389909476,0.32480749871763787,0.3955642703423951,0.25665139436738293,22.746045326509247,43.02664396552717,19.615378083186485,28.462689125074302,0.5,0.30000000000000004,154.33204387716225,423.6142340969573
sarima,24h,ping_latency_gateway,24,-1.3310087508329083,1.7965486584518875,2.089736407463859,0.15927456530204967,0.1745353473049466,0.8125116192614953,0.6354817104230435,0.319628860982596,0.8982743292259437,0.6156638453995061,0.6111890118693486,0.375,0.42500000000000004,2.5962430722472547,9.352927063821019
sarima,24h,storcli_drive_temperature,24,0.2203423146757791,0.7348740440192129,0.8747502899372689,0.02328075624174235,0.023180302894546492,0.5222882942444963,0.3980319086288414,0.19008047183057905,0.36743702200960643,0.1740117112078294,0.2438430683493383,0.5,0.30000000000000004,1.3356744940260585,3.640921830384085
sarima,24h,system_temperature,24,-0.1039761300326661,0.6676551971697204,0.909286156129873,0.012586485880144905,0.012619584307114101,0.3263725138977243,0.25424632716817364,0.15765120264121252,0.3338275985848602,0.21246383854336814,0.2346475465898136,0.625,0.17500000000000004,1.4277099385216137,3.701150411845807
sarima,30d,cpu_load_total,717,0.311379890575984,4.374603020957187,5.52660444684699,0.09398143732625705,0.0921155663216626,0.5446815648311562,0.4327463539528158,1.2065716580520887,2.1873015104785933,1.0933924247966647,1.4957551977757824,0.5439330543933054,0.25606694560669463,8.144433636794696,22.99964082848743
sarima,30d,mem_usage_percent,717,-0.5369143476042316,1.5593313520353038,1.9790006442553674,0.019904247463802358,0.02002616640420135,0.44117908543565826,0.3503078151363628,0.3534427311303277,0.7796656760176519,0.4491538380624848,0.5274207484034882,0.5774058577405857,0.22259414225941432,3.0712783018956196,8.025965691928146
sarima,30d,net_bytes_recv,717,27.186668101479135,95.02534057359875,119.2491702416064,0.8560428227044601,0.32242846613386317,0.4073981279022554,0.29784374408331576,30.404563289658245,47.51267028679938,22.37072738576533,33.429320320740985,0.46722454672245467,0.3327754532775454,153.28974697478097,527.7529067542365
sarima,30d,net_bytes_sent,717,22.026373766568838,90.69476082872738,113.3453254791591,1.0511292419322624,0.3477746184630728,0.4168998971873915,0.28831748992766193,26.6301967500057,45.34738041436369,21.809149010356162,31.262242058241853,0.5118549511854951,0.288145048814505,154.86750656557638,484.39345760361834
sarima,30d,ping_latency_gateway,717,-0.28248740161341185,1.4201727079544664,1.746480675944791,0.16190304085608778,0.16071949448583778,0.6422908843256179,0.5310988138054835,0.33087243868840155,0.7100863539772332,0.39178935528621106,0.4775827159839486,0.5369595536959554,0.26304044630404466,2.608188946748336,7.226617939746141
sarima,30d,storcli_drive_temperature,717,-0.09429012824247132,0.675305058013294,0.8452650783192189,0.02191844564595127,0.021972613462980357,0.4799515368857175,0.38461544544881854,0.15819237215264817,0.337652529006647,0.18625473253777677,0.22736654456569064,0.5676429567642957,0.23235704323570439,1.34836063264375,3.444471046904234
sarima,30d,system_temperature,717,-0.18284705227960815,0.7040731821843915,0.8834256080914239,0.013850154172750522,0.01388921444511572,0.34417486063405406,0.24701543586623606,0.15723780794512632,0.35203659109219576,0.1926709849760626,0.23398179467112823,0.596931659693166,0.20306834030683407,1.4405216087947423,3.4990879292118877
sarima,7d,cpu_load_total,168,0.317322020916228,3.9553215783602282,4.97237727438575,0.08835747370870135,0.08653481830214219,0.49247685707497496,0.38934904002328147,1.034057169770523,1.9776607891801141,0.9332976763693426,1.3150052117733264,0.5952380952380952,0.2047619047619048,8.140757820541076,19.673548461398667
sarima,7d,mem_usage_percent,168,-0.42498456143069174,1.527382104122013,1.923365041762132,0.019812608453079122,0.01990836757095585,0.4321397366427646,0.34045961907347877,0.349616810077223,0.7636910520610065,0.4216388419112879,0.5116489013498392,0.5595238095238095,0.2404761904761905,3.0656563320545094,7.712556519885107
sarima,7d,net_bytes_recv,168,10.539739990628371,93.61421939341221,115.12079145117066,0.6749181975544349,0.3301959002723895,0.4013482876850984,0.2875324623071302,27.230265753947535,46.80710969670611,23.985189477495062,32.674188309382906,0.4583333333333333,0.34166666666666673,153.196759669289,512.1545523144258
sarima,7d,net_bytes_sent,168,12.491912923787108,84.89174444722346,107.06622017439213,0.6061683977659262,0.2945693619482867,0.3902249612735697,0.27234527516883855,22.117771268406006,42.44587222361173,22.39119340166435,28.98494563122736,0.5535714285714286,0.24642857142857144,154.77692942540904,445.08964670070355
sarima,7d,ping_latency_gateway,168,-0.48874412834561376,1.488272357665068,1.7925344609029934,0.1662737762973229,0.16723821631525204,0.6730898033513802,0.5451036126557902,0.3139361609612009,0.744136178832534,0.44863444786726736,0.5022355958870007,0.48214285714285715,0.3178571428571429,2.6068370017677367,7.6257060882846845
sarima,7d,storcli_drive_temperature,168,-0.1227425711363214,0.743291067882535,0.9132893671844243,0.023930966655591326,0.02401663603854594,0.5282704255661388,0.4155680931262248,0.1767724572341638,0.3716455339412675,0.22348360908080972,0.257300533418747,0.4880952380952381,0.31190476190476196,1.3469249100914507,4.0025606631497395
sarima,7d,system_temperature,168,-0.01331811598703321,0.7586369150920462,0.930071274888564,0.015090701409063847,0.015079045568627677,0.3708474646251651,0.2600580730839408,0.18452320236232347,0.3793184575460231,0.18913638932974872,0.2509926830793651,0.5654761904761905,0.23452380952380958,1.4390687973293705,3.73659591692072
